,.INX_Open,.INX_High,.INX_Low,.INX_Close,.INX_Volume
2011-04-26,1337.14,1337.55,1331.47,1335.25,0
2011-04-27,1336.75,1349.55,1336.75,1347.24,0
2011-04-28,1348.43,1357.49,1344.25,1355.66,0
2011-04-29,1353.86,1361.71,1353.6,1360.48,0
2011-04-30,1360.14,1363.61,1360.48,1363.61,0
2011-05-03,1365.21,1370.58,1358.59,1361.22,0
2011-05-04,1359.76,1360.84,1349.52,1356.62,0
2011-05-05,1355.9,1355.9,1341.5,1347.32,0
2011-05-06,1344.16,1348.0,1329.17,1335.1,0
2011-05-07,1340.24,1354.36,1335.58,1340.2,0
2011-05-10,1340.2,1349.44,1338.64,1346.29,0
2011-05-11,1348.34,1359.44,1348.34,1357.16,0
2011-05-12,1354.51,1354.51,1336.36,1342.08,0
2011-05-13,1339.39,1351.05,1332.03,1348.65,0
2011-05-14,1348.69,1350.47,1333.36,1337.77,0
2011-05-17,1334.77,1343.33,1327.32,1329.47,0
2011-05-18,1326.1,1330.42,1318.51,1328.98,0
2011-05-19,1328.54,1341.82,1326.59,1340.68,0
2011-05-20,1342.4,1345.21,1336.36,1343.6,0
2011-05-21,1342.0,1342.0,1330.67,1333.27,0
2011-05-24,1333.07,1333.07,1312.88,1317.37,0
2011-05-25,1317.7,1323.72,1313.87,1316.28,0
2011-05-26,1316.36,1325.86,1311.8,1320.47,0
2011-05-27,1320.64,1328.51,1314.41,1325.69,0
2011-05-28,1331.1,1331.1,1331.1,1331.1,0
2011-06-01,1331.1,1345.2,1331.1,1345.2,0
2011-06-02,1345.2,1345.2,1313.71,1314.55,0
2011-06-03,1314.55,1318.03,1305.61,1312.94,0
2011-06-04,1312.94,1312.94,1297.9,1300.16,0
2011-06-07,1300.26,1300.26,1284.72,1286.17,0
2011-06-08,1286.31,1296.22,1284.74,1284.94,0
2011-06-09,1284.63,1287.04,1277.42,1279.56,0
2011-06-10,1279.63,1294.54,1279.63,1289.0,0
2011-06-11,1288.6,1288.6,1268.28,1270.98,0
2011-06-14,1271.31,1277.04,1265.64,1271.83,0
2011-06-15,1272.22,1292.5,1272.22,1287.87,0
2011-06-16,1287.87,1287.87,1261.9,1265.42,0
2011-06-17,1265.53,1274.11,1258.07,1267.64,0
2011-06-18,1268.58,1279.82,1267.4,1271.5,0
2011-06-21,1271.5,1280.42,1267.56,1278.36,0
2011-06-22,1278.4,1297.62,1278.4,1295.52,0
2011-06-23,1295.48,1298.61,1286.79,1287.14,0
2011-06-24,1286.6,1286.6,1262.87,1283.5,0
2011-06-25,1283.04,1283.93,1267.24,1268.45,0
2011-06-28,1268.44,1284.91,1267.53,1280.1,0
2011-06-29,1280.21,1296.8,1280.21,1296.67,0
2011-06-30,1296.85,1309.21,1296.85,1307.41,0
2011-07-01,1307.64,1321.97,1307.64,1320.64,0
2011-07-02,1339.67,1339.67,1339.67,1339.67,0
2011-07-06,1339.59,1340.89,1334.3,1337.88,0
2011-07-07,1337.56,1340.94,1330.92,1339.22,0
2011-07-08,1339.62,1356.48,1339.62,1353.22,0
2011-07-09,1352.39,1352.39,1333.71,1343.8,604566402
2011-07-12,1343.31,1343.31,1316.42,1319.49,634678149
2011-07-13,1319.61,1327.17,1313.33,1313.64,727709237
2011-07-14,1314.45,1331.48,1314.45,1317.72,665194136
2011-07-15,1317.74,1326.88,1306.51,1308.87,720241043
2011-07-16,1308.87,1317.7,1307.52,1316.14,884873379
2011-07-19,1315.94,1315.94,1295.92,1305.44,678947418
2011-07-20,1307.07,1328.14,1307.07,1326.73,696044433
2011-07-21,1328.66,1330.43,1323.65,1325.84,644010506
2011-07-22,1325.65,1347.0,1325.65,1343.8,829496744
2011-07-23,1343.8,1346.1,1336.95,1345.02,585559408
2011-07-26,1344.32,1344.32,1331.09,1337.43,576860663
2011-07-27,1337.39,1338.51,1329.59,1331.94,652053297
2011-07-28,1331.91,1331.91,1303.49,1304.89,852723222
2011-07-29,1304.84,1316.32,1299.16,1300.67,748423359
2011-07-30,1300.12,1304.16,1282.86,1292.28,951840994
2011-08-02,1292.59,1307.38,1274.73,1286.94,851983685
2011-08-03,1286.56,1286.56,1254.03,1254.05,960305320
2011-08-04,1254.25,1261.2,1234.56,1260.34,1017929428
2011-08-05,1260.23,1260.23,1199.54,1200.07,1354440481
2011-08-06,1200.28,1218.11,1168.09,1199.38,1724038427
2011-08-09,1198.48,1198.48,1119.28,1119.46,1938224823
2011-08-10,1120.23,1172.88,1101.54,1172.53,1861439426
2011-08-11,1171.77,1171.77,1118.01,1120.76,1717760269
2011-08-12,1121.3,1186.29,1121.3,1172.64,1528892951
2011-08-13,1172.87,1189.04,1170.74,1178.81,1000795534
2011-08-16,1178.86,1204.49,1178.86,1204.49,855621780
2011-08-17,1204.22,1204.22,1180.53,1192.76,871874227
2011-08-18,1192.89,1208.47,1184.36,1193.88,784412496
2011-08-19,1189.62,1189.62,1131.03,1140.65,1304288663
2011-08-20,1140.47,1154.54,1122.05,1123.53,1274017115
2011-08-23,1123.55,1145.49,1121.09,1123.82,911682001
2011-08-24,1124.36,1162.35,1122.91,1162.35,962340913
2011-08-25,1162.16,1178.56,1156.3,1177.6,876215466
2011-08-26,1176.69,1190.68,1155.47,1159.27,944172666
2011-08-27,1158.85,1181.23,1135.91,1176.8,917776305
2011-08-30,1177.91,1210.28,1177.91,1210.08,686404157
2011-08-31,1209.76,1220.1,1195.77,1212.92,794771483
2011-09-01,1213.0,1230.71,1209.35,1218.89,963811586
2011-09-02,1219.12,1229.29,1203.85,1204.42,742114585
2011-09-03,1203.9,1203.9,1170.56,1173.97,723929644
2011-09-07,1173.97,1173.97,1140.13,1165.24,860860457
2011-09-08,1165.85,1198.62,1165.85,1198.62,771110426
2011-09-09,1197.98,1204.4,1183.34,1185.9,782308099
2011-09-10,1185.37,1185.37,1148.37,1154.23,993603433
2011-09-13,1153.5,1162.52,1136.07,1162.27,857714917
2011-09-14,1162.59,1176.41,1157.44,1172.87,832337292
2011-09-15,1173.32,1202.38,1162.73,1188.68,887359352
2011-09-16,1189.44,1209.11,1189.44,1209.11,802306604
2011-09-17,1209.21,1220.06,1204.46,1216.01,1568106835
2011-09-20,1214.99,1214.99,1188.36,1204.09,738602405
2011-09-21,1204.5,1220.39,1201.29,1202.09,720960934
2011-09-22,1203.63,1206.3,1166.21,1166.76,967540054
2011-09-23,1164.55,1164.55,1114.22,1129.56,1347290451
2011-09-24,1128.82,1141.72,1121.36,1136.43,951820410
2011-09-27,1136.91,1164.19,1131.07,1162.95,918023089
2011-09-28,1163.32,1195.86,1163.32,1175.38,900240442
2011-09-29,1175.39,1184.71,1150.4,1151.06,789870229
2011-09-30,1151.74,1175.87,1139.93,1160.4,883318450
2011-10-01,1159.93,1159.93,1131.34,1131.42,986533828
2011-10-04,1131.21,1138.99,1098.92,1099.23,1064637423
2011-10-05,1097.42,1125.12,1074.77,1123.95,1234751524
2011-10-06,1124.03,1146.07,1115.68,1144.04,973757258
2011-10-07,1144.11,1165.55,1134.95,1164.97,851180498
2011-10-08,1165.03,1171.4,1150.26,1155.46,881987180
2011-10-11,1158.15,1194.91,1158.15,1194.89,654900182
2011-10-12,1194.6,1199.24,1187.3,1195.54,650495293
2011-10-13,1196.19,1220.25,1196.19,1207.25,805996037
2011-10-14,1206.96,1207.46,1190.58,1203.66,678085409
2011-10-15,1205.65,1224.61,1205.65,1224.58,627784340
2011-10-18,1224.47,1224.47,1198.55,1200.86,679194964
2011-10-19,1200.75,1233.1,1191.48,1225.38,853336854
2011-10-20,1223.46,1229.64,1206.31,1209.88,776277817
2011-10-21,1209.92,1219.53,1197.34,1215.39,768757500
2011-10-22,1215.39,1239.03,1215.39,1238.25,1039907588
2011-10-25,1238.72,1256.55,1238.72,1254.19,700005048
2011-10-26,1253.86,1253.86,1226.79,1229.05,774021372
2011-10-27,1229.17,1246.28,1221.06,1242.0,892603231
2011-10-28,1243.97,1292.66,1243.97,1284.59,1060954523
2011-10-29,1284.39,1287.08,1277.01,1285.08,773623934
2011-11-01,1284.96,1284.96,1253.16,1253.3,860463689
2011-11-02,1251.0,1251.0,1215.42,1218.28,1000384262
2011-11-03,1219.62,1242.48,1219.62,1237.9,751246981
2011-11-04,1238.25,1263.21,1234.81,1261.15,794731867
2011-11-05,1260.82,1260.82,1238.92,1253.23,650297708
2011-11-08,1253.21,1261.7,1240.75,1261.12,599517168
2011-11-09,1261.12,1277.55,1254.99,1275.92,658714639
2011-11-10,1275.18,1275.18,1226.64,1229.1,851197270
2011-11-11,1229.59,1246.22,1227.7,1239.7,692943332
2011-11-12,1240.12,1266.98,1240.12,1263.85,576721361
2011-11-15,1263.85,1263.85,1246.68,1251.78,533463234
2011-11-16,1251.7,1264.25,1244.34,1257.81,624302078
2011-11-17,1257.81,1259.61,1235.67,1236.91,753541287
2011-11-18,1236.56,1237.73,1209.43,1216.13,822872074
2011-11-19,1216.19,1223.51,1211.36,1215.65,788180044
2011-11-22,1215.62,1215.62,1183.16,1192.98,735399102
2011-11-23,1192.98,1196.81,1181.65,1188.04,674946864
2011-11-24,1161.79,1161.79,1161.79,1161.79,0
2011-11-26,1161.41,1172.66,1158.66,1158.67,335956880
2011-11-29,1158.67,1197.35,1158.67,1192.55,739215915
2011-11-30,1192.56,1203.67,1191.8,1195.19,647616312
2011-12-01,1196.72,1247.11,1196.72,1246.96,1172115724
2011-12-02,1246.91,1251.09,1239.73,1244.58,616267764
2011-12-03,1246.03,1260.08,1243.35,1244.28,664845278
2011-12-06,1244.33,1266.73,1244.33,1257.08,681306682
2011-12-07,1257.19,1266.03,1253.03,1258.47,595394701
2011-12-08,1258.14,1267.06,1244.8,1261.01,717576123
2011-12-09,1260.87,1260.87,1231.47,1234.35,710781395
2011-12-10,1234.48,1258.25,1234.48,1255.19,607239967
2011-12-13,1255.05,1255.05,1227.25,1236.47,610944177
2011-12-14,1236.83,1249.86,1219.43,1225.73,735543315
2011-12-15,1225.73,1225.73,1209.47,1211.82,698587206
2011-12-16,1212.12,1225.6,1212.12,1215.75,648747609
2011-12-17,1216.09,1231.04,1215.2,1219.66,1403591924
2011-12-20,1219.74,1224.57,1202.37,1205.35,569817637
2011-12-21,1205.72,1242.82,1205.72,1241.3,741105751
2011-12-22,1241.25,1245.09,1229.51,1243.72,715569979
2011-12-23,1243.72,1255.22,1243.72,1254.0,615073106
2011-12-24,1265.33,1265.33,1265.33,1265.33,0
2011-12-28,1265.02,1269.37,1262.3,1265.43,347088222
2011-12-29,1265.38,1265.85,1248.64,1249.64,388379153
2011-12-30,1249.75,1263.54,1249.75,1263.02,375206293
2011-12-31,1262.82,1264.12,1257.46,1257.6,422083445
2012-01-04,1258.86,1284.62,1258.86,1277.06,662715756
2012-01-05,1277.03,1278.73,1268.1,1277.3,613302433
2012-01-06,1277.3,1283.05,1265.26,1281.06,661073567
2012-01-07,1280.93,1281.84,1273.34,1277.81,586007516
2012-01-10,1277.83,1281.99,1274.55,1280.7,582309850
2012-01-11,1280.77,1296.46,1280.77,1292.08,653259111
2012-01-12,1292.02,1293.8,1285.41,1292.48,568741622
2012-01-13,1292.48,1296.82,1285.77,1295.5,580177676
2012-01-14,1289.09,1289.09,1289.09,1289.09,0
2012-01-18,1290.22,1303.0,1290.22,1293.67,641969084
2012-01-19,1293.65,1308.11,1290.99,1308.04,675850271
